
 --- Table  1: Summary of nuclide data: 

 Data for 139 nuclides included in calculation:

 - 139 Transport nuclides
 - No dosimetry nuclides
 - No decay nuclides
 - 3899 reaction channels
 - 1086 special reactions
 - No transmutation reactions
 - 16 transmutation branch reactions
 - No decay reactions
 - No decay branch reactions
 - All reaction linked to target

 Columns:

  1. Index
  2. Level (first occurence in transmutation paths)
  3. Name (nuclide identifier data)
  4. Library ID
  5. Primary data type: TRA = transport
                        DOS = dosimetry
                        SAB = thermal scattering
                        DEC = only decay data
                        STR = only structural data (mass)
                        PHO = photon interaction data
  6. Z (atomic number)
  7. A (isotope number)
  8. I (isomeric state)
  9. Atomic weight
 10. Temperature (in Kelvin)
 11. Decay constant (1/s)
 12. Flags: I - nuclide is present in initial composition
            B - nuclide is involved in burnup calculation
            A - nuclide is produced as activation product
            D - nuclide is produced as decay product
            F - nuclide is produced as fission product
            B - nuclide is produced in decay or transmutation branching
            T - nuclide has neutron transport cross section data
            S - nuclide has S(a,b) data
            I - nuclide has isomeric branching reactions
            F - nuclide is fissile
            P - nuclide is a delayed neutron precursor
            D - nuclide has delayed neutron data
            U - nuclide has uses ures ptable data
            T - nuclide cross sections are adjusted by TMS
            D - nuclide has dosimetry cross section data
            R - nuclide has radioactive decay data
            N - nuclide has neutron-induced fission yield data
            S - nuclide has spontaneous fission yield data
            P - nuclide has photon transport cross section data
            T - nuclide has supplementary transmutation cross section data

   43   0  11023.06c     06c  TRA   11  23 0   22.98949   873.0          N/A  I-----T-I-----------  sodium 23 (Na-23)
   44   0  11023.06c     06c  TRA   11  23 0   22.98949   889.7          N/A  I-----T-I-----------  sodium 23 (Na-23)
   45   0  11023.06c     06c  TRA   11  23 0   22.98949   898.0          N/A  I-----T-I-----------  sodium 23 (Na-23)
   46   0  11023.06c     06c  TRA   11  23 0   22.98949   906.3          N/A  I-----T-I-----------  sodium 23 (Na-23)
   47   0  11023.06c     06c  TRA   11  23 0   22.98949   914.6          N/A  I-----T-I-----------  sodium 23 (Na-23)
   48   0  11023.06c     06c  TRA   11  23 0   22.98949   923.0          N/A  I-----T-I-----------  sodium 23 (Na-23)
   49   0  11023.06c     06c  TRA   11  23 0   22.98949   931.3          N/A  I-----T-I-----------  sodium 23 (Na-23)
   50   0  11023.06c     06c  TRA   11  23 0   22.98949   939.6          N/A  I-----T-I-----------  sodium 23 (Na-23)
   51   0  11023.06c     06c  TRA   11  23 0   22.98949   948.0          N/A  I-----T-I-----------  sodium 23 (Na-23)
   52   0  11023.06c     06c  TRA   11  23 0   22.98949   956.3          N/A  I-----T-I-----------  sodium 23 (Na-23)
   53   0  12000.06c     06c  TRA   12   0 0   24.30509   600.0          N/A  I-----T-------------  natural magnesium (Mg-nat)
   54   0  13027.06c     06c  TRA   13  27 0   26.98154   600.0          N/A  I-----T-------------  aluminum 27 (Al-27)
   55   0  14000.06c     06c  TRA   14   0 0   28.08557   600.0          N/A  I-----T-------------  natural silicon (Si-nat)
   56   0  14028.06c     06c  TRA   14  28 0   27.97734   923.0          N/A  I-----T-------------  silicon 28 (Si-28)
   57   0  14028.06c     06c  TRA   14  28 0   27.97734   956.0          N/A  I-----T-------------  silicon 28 (Si-28)
   58   0  14029.06c     06c  TRA   14  29 0   28.97693   923.0          N/A  I-----T-------------  silicon 29 (Si-29)
   59   0  14030.06c     06c  TRA   14  30 0   29.97349   923.0          N/A  I-----T-------------  silicon 30 (Si-30)
   60   0  15031.06c     06c  TRA   15  31 0   30.97408   923.0          N/A  I-----T-------------  phosphorus 31 (P-31)
   61   0  16000.06c     06c  TRA   16   0 0   32.06425   600.0          N/A  I-----T-------------  natural sulfur (S-nat)
   62   0  16032.06c     06c  TRA   16  32 0   31.97196   923.0          N/A  I-----T-------------  sulfur 32 (S-32)
   63   0  16033.06c     06c  TRA   16  33 0   32.97104   923.0          N/A  I-----T-------------  sulfur 33 (S-33)
   64   0  16034.06c     06c  TRA   16  34 0   33.96800   923.0          N/A  I-----T-------------  sulfur 34 (S-34)
   65   0  18000.59c     59c  TRA   18   0 0   39.94766   300.0          N/A  I-----T-------------  natural argon (Ar-nat)
   66   0  19039.06c     06c  TRA   19  39 0   38.96402   873.0          N/A  I-----T-------------  potassium 39 (K-39)
   67   0  19039.06c     06c  TRA   19  39 0   38.96402   889.7          N/A  I-----T-------------  potassium 39 (K-39)
   68   0  19039.06c     06c  TRA   19  39 0   38.96402   898.0          N/A  I-----T-------------  potassium 39 (K-39)
   69   0  19039.06c     06c  TRA   19  39 0   38.96402   906.3          N/A  I-----T-------------  potassium 39 (K-39)
   70   0  19039.06c     06c  TRA   19  39 0   38.96402   914.6          N/A  I-----T-------------  potassium 39 (K-39)
   71   0  19039.06c     06c  TRA   19  39 0   38.96402   923.0          N/A  I-----T-------------  potassium 39 (K-39)
   72   0  19039.06c     06c  TRA   19  39 0   38.96402   931.3          N/A  I-----T-------------  potassium 39 (K-39)
   73   0  19039.06c     06c  TRA   19  39 0   38.96402   939.6          N/A  I-----T-------------  potassium 39 (K-39)
   74   0  19039.06c     06c  TRA   19  39 0   38.96402   948.0          N/A  I-----T-------------  potassium 39 (K-39)
   75   0  19039.06c     06c  TRA   19  39 0   38.96402   956.3          N/A  I-----T-------------  potassium 39 (K-39)
   76   0  19041.06c     06c  TRA   19  41 0   40.96198   873.0          N/A  I-----T-------------  potassium 41 (K-41)
   77   0  19041.06c     06c  TRA   19  41 0   40.96198   889.7          N/A  I-----T-------------  potassium 41 (K-41)
   78   0  19041.06c     06c  TRA   19  41 0   40.96198   898.0          N/A  I-----T-------------  potassium 41 (K-41)
   79   0  19041.06c     06c  TRA   19  41 0   40.96198   906.3          N/A  I-----T-------------  potassium 41 (K-41)
   80   0  19041.06c     06c  TRA   19  41 0   40.96198   914.6          N/A  I-----T-------------  potassium 41 (K-41)
   81   0  19041.06c     06c  TRA   19  41 0   40.96198   923.0          N/A  I-----T-------------  potassium 41 (K-41)
   82   0  19041.06c     06c  TRA   19  41 0   40.96198   931.3          N/A  I-----T-------------  potassium 41 (K-41)
   83   0  19041.06c     06c  TRA   19  41 0   40.96198   939.6          N/A  I-----T-------------  potassium 41 (K-41)
   84   0  19041.06c     06c  TRA   19  41 0   40.96198   948.0          N/A  I-----T-------------  potassium 41 (K-41)
   85   0  19041.06c     06c  TRA   19  41 0   40.96198   956.3          N/A  I-----T-------------  potassium 41 (K-41)
   86   0  20000.06c     06c  TRA   20   0 0   40.08031   600.0          N/A  I-----T-------------  natural calcium (Ca-nat)
   87   0  24050.06c     06c  TRA   24  50 0   49.94606   923.0          N/A  I-----T-------------  chromium 50 (Cr-50)
   88   0  24052.06c     06c  TRA   24  52 0   51.94019   923.0          N/A  I-----T-------------  chromium 52 (Cr-52)
   89   0  24052.06c     06c  TRA   24  52 0   51.94019   956.0          N/A  I-----T-------------  chromium 52 (Cr-52)
   90   0  24053.06c     06c  TRA   24  53 0   52.94079   923.0          N/A  I-----T-------------  chromium 53 (Cr-53)
   91   0  24054.06c     06c  TRA   24  54 0   53.93937   923.0          N/A  I-----T-------------  chromium 54 (Cr-54)
   92   0  25055.06c     06c  TRA   25  55 0   54.93805   923.0          N/A  I-----T-----U-------  manganese 55 (Mn-55)
   93   0  26000.06c     06c  TRA   26   0 0   55.84675   600.0          N/A  I-----T-------------  natural iron (Fe-nat)
   94   0  26054.06c     06c  TRA   26  54 0   53.93937   923.0          N/A  I-----T-------------  iron 54 (Fe-54)
   95   0  26056.06c     06c  TRA   26  56 0   55.93451   923.0          N/A  I-----T-------------  iron 56 (Fe-56)
   96   0  26056.06c     06c  TRA   26  56 0   55.93451   956.0          N/A  I-----T-------------  iron 56 (Fe-56)
   97   0  26057.06c     06c  TRA   26  57 0   56.93510   923.0          N/A  I-----T-------------  iron 57 (Fe-57)
   98   0  26058.06c     06c  TRA   26  58 0   57.93368   923.0          N/A  I-----T-------------  iron 58 (Fe-58)
   99   0  28058.06c     06c  TRA   28  58 0   57.93570   923.0          N/A  I-----T-------------  nickel 58 (Ni-58)
  100   0  28058.06c     06c  TRA   28  58 0   57.93570   956.0          N/A  I-----T-------------  nickel 58 (Ni-58)
  101   0  28060.06c     06c  TRA   28  60 0   59.93084   923.0          N/A  I-----T-------------  nickel 60 (Ni-60)
  102   0  28060.06c     06c  TRA   28  60 0   59.93084   956.0          N/A  I-----T-------------  nickel 60 (Ni-60)
  103   0  28061.06c     06c  TRA   28  61 0   60.93143   923.0          N/A  I-----T-------------  nickel 61 (Ni-61)
  104   0  28062.06c     06c  TRA   28  62 0   61.92799   923.0          N/A  I-----T-----U-------  nickel 62 (Ni-62)
  105   0  28064.06c     06c  TRA   28  64 0   63.92818   923.0          N/A  I-----T-------------  nickel 64 (Ni-64)
  106   0  42092.06c     06c  TRA   42  92 0   91.90683   956.0          N/A  I-----T-I---U-------  molybdenum 92 (Mo-92)
  107   0  42094.06c     06c  TRA   42  94 0   93.90510   956.0          N/A  I-----T-----U-------  molybdenum 94 (Mo-94)
  108   0  42095.06c     06c  TRA   42  95 0   94.90589   956.0          N/A  I-----T-----U-------  molybdenum 95 (Mo-95)
  109   0  42096.06c     06c  TRA   42  96 0   95.90467   956.0          N/A  I-----T-----U-------  molybdenum 96 (Mo-96)
  110   0  42097.06c     06c  TRA   42  97 0   96.90597   956.0          N/A  I-----T-----U-------  molybdenum 97 (Mo-97)
  111   0  42098.06c     06c  TRA   42  98 0   97.90536   956.0          N/A  I-----T-----U-------  molybdenum 98 (Mo-98)
  112   0  42100.06c     06c  TRA   42 100 0   99.90726   956.0          N/A  I-----T-----U-------  molybdenum 100 (Mo-100)
  113   0  56130.06c     06c  TRA   56 130 0  129.90596   600.0          N/A  I-----T-I---U-------  barium 130 (Ba-130)
  114   0  56132.06c     06c  TRA   56 132 0  131.90514   600.0          N/A  I-----T-I---U-------  barium 132 (Ba-132)
  115   0  56134.06c     06c  TRA   56 134 0  133.90431   600.0          N/A  I-----T-I---U-------  barium 134 (Ba-134)
  116   0  56135.06c     06c  TRA   56 135 0  134.90591   600.0          N/A  I-----T-I---U-------  barium 135 (Ba-135)
  117   0  56136.06c     06c  TRA   56 136 0  135.90449   600.0          N/A  I-----T-I---U-------  barium 136 (Ba-136)
  118   0  56137.06c     06c  TRA   56 137 0  136.90610   600.0          N/A  I-----T-----U-------  barium 137 (Ba-137)
  119   0  56138.06c     06c  TRA   56 138 0  137.90467   600.0          N/A  I-----T-------------  barium 138 (Ba-138)
  120   0  92235.06c     06c  TRA   92 235 0  235.04395   873.0          N/A  I-----T--F-DU-------  uranium 235 (U-235)
  121   0  92235.06c     06c  TRA   92 235 0  235.04395   889.7          N/A  I-----T--F-DU-------  uranium 235 (U-235)
  122   0  92235.06c     06c  TRA   92 235 0  235.04395   898.0          N/A  I-----T--F-DU-------  uranium 235 (U-235)
  123   0  92235.06c     06c  TRA   92 235 0  235.04395   906.3          N/A  I-----T--F-DU-------  uranium 235 (U-235)
  124   0  92235.06c     06c  TRA   92 235 0  235.04395   914.6          N/A  I-----T--F-DU-------  uranium 235 (U-235)
  125   0  92235.06c     06c  TRA   92 235 0  235.04395   923.0          N/A  I-----T--F-DU-------  uranium 235 (U-235)
  126   0  92235.06c     06c  TRA   92 235 0  235.04395   931.3          N/A  I-----T--F-DU-------  uranium 235 (U-235)
  127   0  92235.06c     06c  TRA   92 235 0  235.04395   939.6          N/A  I-----T--F-DU-------  uranium 235 (U-235)
  128   0  92235.06c     06c  TRA   92 235 0  235.04395   948.0          N/A  I-----T--F-DU-------  uranium 235 (U-235)
  129   0  92235.06c     06c  TRA   92 235 0  235.04395   956.3          N/A  I-----T--F-DU-------  uranium 235 (U-235)
